Product Name,Final Price,MRP,Discount,Ram,Display,Camera,Battery,Warranty,Review
"Infinix Hot 12 Pro (Racing Black, 64 GB)","₹9,799","₹13,999",30% off,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,4.2
"Nokia C32 Dual Sim 50MP Camera ,2MP Front Camera (Charcoal, 64 GB)","₹8,999","₹10,499",14% off,4 GB RAM | 64 GB ROM,16.55 cm (6.517 inch) Display,13MP Rear Camera,5000 mAh Lithium-ion Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.7
"Tecno Spark 10C (Blue, 8 GB)","₹9,930","₹12,499",20% off,128 GB RAM | 8 GB ROM,16.76 cm (6.6 inch) Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,4.1
"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,999","₹13,999",28% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP Rear Camera,1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,290","₹8,499",14% off,2 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,32MP Rear Camera,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,4.1
"REDMI 9i (Midnight Black, 128 GB)","₹9,999","₹10,999",9% off,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3
"REDMI 12C (Lavender Purple, 64 GB)","₹8,899","₹13,999",36% off,4 GB RAM | 64 GB ROM,17.04 cm (6.71 inch) Display,13MP Rear Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2
MTR M400,₹890,"₹1,999",55% off,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,3.5
"realme C25s (Watery Grey, 128 GB)","₹9,999","₹11,999",16% off,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4.4
"REDMI 10A (Charcoal Black, 32 GB)","₹8,999","₹10,999",18% off,3 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,13MP + Depth Lens | 8MP Front Camera,3000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,4.1
