Title,Processors,Ram,Battery,Price,Review
"MOTOROLA g31 (Baby Blue, 64 GB)",Mediatek Helio G37 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Polymer Battery,"₹11,999",4.3
"MOTOROLA G32 (Satin Maroon, 128 GB)",Mediatek MT6765 Helio G37 Processor,8 GB RAM | 128 GB ROM,5000 mAH Battery,"₹11,999",4.1
"Infinix Hot 11S (Green Wave, 128 GB)",Mediatek Helio G35 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh LiPo Battery,"₹11,999",4.4
"LAVA Blaze Pro 6GB+128GB (Glass Green, 128 GB)",Mediatek Helio P35 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium Polymer Battery,"₹11,999",4.2
"Infinix S5 Pro (Forest Green, 64 GB)",Qualcomm Snapdragon 625 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Li-ion Polymer Battery,"₹11,999",4.4
"POCO M4 5G (Power Black, 64 GB)",Qualcomm Snapdragon 665 2 GHz Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,"₹11,999",4.1
"realme C35 (Glowing Black, 64 GB)",Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4000 mAh Li-ion Polymer Battery,"₹11,999",4.4
"MOTOROLA G9 Power (Electric Violet, 64 GB)",Qualcomm Snapdragon 732G Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium Ion Polymer Battery,"₹11,999",3.9
"Infinix S5 Pro (Violet, 64 GB)",Mediatek G37 Octa Core Processor Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium Polymer Battery,"₹11,999",4.2
"SAMSUNG Galaxy A04 (Copper, 64 GB)",Mediatek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Li-Polymer Battery,"₹11,999",4.1
"Moto E5 Plus (Black, 32 GB)",Snapdragon 4 Gen 2 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,4000 mAh Li-ion Polymer Battery,"₹11,999",4.5
"Lenovo K9 Note (Gold, 64 GB)",Mediatek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium Ion Battery,"₹11,999",4.4
"realme 5s (Crystal Blue, 64 GB)",Snapdragon 4 Gen 2 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,"₹11,999",4.3
"Redmi Note 7S (Astro Moonlight White, 32 GB)",MediaTek Helio G88 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,3760 mAh Battery,"₹11,999",4.3
"12 (Black, 128 GB)",Qualcomm Snapdragon 430 Octa Core 1.4GHz Processor,6 GB RAM | 128 GB ROM,5000 mAh Battery,"₹11,999",3.8
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",Qualcomm Snapdragon 625 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4000 mAh Battery,"₹11,999",3.7
"OPPO A17 (Midnight Black, 64 GB)",Qualcomm Snapdragon 625 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,"₹11,999",4.2
"Lenovo Z2 Plus (Black, 64 GB)",MediaTek Helio G85 (MT6769V/CZ) Processor,4 GB RAM | 64 GB ROM,6000 mAh Lithium Ion Battery,"₹11,999",3.4
"Nokia C 30 (White, 64 GB)",MediaTek MTK6737 Quad Core 1.25 GHz Processor,4 GB RAM | 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"₹11,999",4.2
"MOTOROLA g31 (Meteorite Grey, 64 GB)",MediaTek Helio P70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,3500 mAh Li-Ion Battery,"₹11,999",4.2
"REDMI 12C (Royal Blue, 6 GB)",Qualcomm Snapdragon 625 Processor,128 GB RAM | 6 GB ROM,6000 mAh Li-Polymer Battery,"₹11,250",4.3
"SAMSUNG Galaxy M12 (Black, 64 GB)",Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4 GB RAM | 64 GB ROM,5000 mAh LiPo Battery,"₹11,248",3.8
"Tecno Spark 10 (Meta Black, 128 GB)",Qualcomm Snapdragon 4 Gen 2 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,"₹11,227",3.8
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",MediaTek Helio G85 Processor,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,"₹11,200",4.5
"MOTOROLA g22 (Mint Green, 64 GB)",MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,"₹11,099",4.2
"MOTOROLA g22 (Iceberg Blue, 64 GB)",Qualcomm Snapdragon 680 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,3300 mAh Li-ion Battery,"₹11,099",4.2
"Tecno Spark 10 50MP AI Dual Rear Camera HD Display (Meta Blue, 128 GB)",Mediatek Helio P35 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Ion Battery,"₹11,090",4.3
"REDMI 9 Activ (Carbon Black, 128 GB)",Exynos Octa Core Processor Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium Ion Battery,"₹10,999",4.4
"realme Narzo N55 (Prime Black, 64 GB)",Exynos 7870 Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹10,999",4.5
"vivo Y16 (Drizzling Gold, 64 GB)",Mediatek MT6735 64-bit Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Polymer Battery,"₹10,999",4.4
"Redmi Note 5 (Gold, 32 GB)",MediaTek Helio G85 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5000 mAh Battery,"₹10,999",4.2
"realme 5 (Crystal Blue, 32 GB)",Qualcomm Snapdragon 430 Octa Core 1.4GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium Battery,"₹10,999",4.2
"Redmi 8 (Emerald Green, 64 GB)",MT6753V/WA Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4000 mAh Li Polymer Battery,"₹10,999",4.2
"MOTOROLA G40 Fusion (Frosted Champagne, 64 GB)",MediaTek Helio G80 Processor,4 GB RAM | 64 GB ROM,5000 mAH Battery,"₹10,999",4.5
"LAVA Blaze Pro (Glass Gold, 64 GB)",MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,"₹10,999",4.2
"vivo Y15c (Mystic Blue, 64 GB)",Mediatek Helio P35 Processor,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,"₹10,999",4.5
"POCO M6 Pro 5G (Forest Green, 64 GB)",MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Polymer Battery,"₹10,999",4.3
"vivo Y16 (Steller Black, 32 GB)",MediaTek Helio G35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Battery,"₹10,999",4
"POCO M6 Pro 5G (Power Black, 64 GB)",Qualcomm Snapdragon 625 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,"₹10,999",4.4
"Infinix Hot 11S (Polar Black, 64 GB)",MediaTek Helio G37 Octa Core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium Battery,"₹10,999",4.4
"Lenovo K6 Power (Gold, 32 GB)",Qualcomm Snapdragon 625 Processor,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5000 mAh Battery,"₹10,999",4.1
"Redmi Note 5 (Black, 32 GB)",Qualcomm Snapdragon 439 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5000 mAh Li-ion Polymer Battery,"₹10,999",3.7
"Redmi Note 5 (Rose Gold, 32 GB)",Mediatek Helio P35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,4000 mAh Li-Polymer Battery,"₹10,999",4.3
"Micromax IN Note 1 (Green, 128 GB)",Mediatek Helio P35 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4000 mAh Li Polymer Battery,"₹11,990",4.4
"Panasonic Eluga I9 (Space Grey, 32 GB)",Qualcomm Snapdragon 460 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,4000 mAh Li Polymer Battery,"₹11,990",4.3
"Motorola One Macro (Ultra Violet, 64 GB)",Mediatek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,"₹11,990",4.2
"Redmi Note 5 (Blue, 64 GB)",MediaTek Helio P35 (MT6765) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,2500 mAh Li-ion Polymer Battery,"₹11,990",4.2
"REDMI NOTE 10 LITE (Glacier White, 64 GB)",Qualcomm Snapdragon 665 AIE Processor,4 GB RAM | 64 GB ROM,4000 mAh Battery,"₹11,990",4.2
"SAMSUNG Galaxy M11 (Black, 32 GB)",Qualcomm Snapdragon 662 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,4000 mAh Li Polymer Battery,"₹11,989",4.4
"12 (Silver, 128 GB)",Qualcomm Snapdragon 439 Processor,6 GB RAM | 128 GB ROM,5020 mAh Battery,"₹11,988",4.2
"REDMI Note 11 (Space Black, 64 GB)",Qualcomm Snapdragon 662 Processor,4 GB RAM | 64 GB ROM,5000 mAh Lithium-ion Battery,"₹11,980",4.1
